"code","latest_ecp","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010"
"ABTS1000","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=96069","","S1S2    ","S1S2    ","S1S2    ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"ABTS1010","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=93673","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"ABTS1020","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=100472","","S1      ","S1      ","S1      ","","","","","","",""
"ABTS2010","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=94217","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"ABTS2020","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=91170","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"ABTS2060","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=97306","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"ABTS2080","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=96070","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1S2    ","S1S2    ","S1S2    ","S1S2    "
"ABTS2090","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=91759","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    "
"ABTS3010","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=93068","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"ABTS3020","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=92982","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"ABTS7000","","","","","","","","S1      ","S1      ","S1      ","S1      ","S1      "
"ABTS3030","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=85218","","","","S1      ","","","","","","",""
"ACCT1101","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=99220","","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    "
"ACCT1110","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=97566","","S1S2    ","","","","","","","","",""
"ACCT1901D","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=99817","","T1T2    ","T1T2    ","T1T2    ","T1T2    ","T1T2    ","T1T2    ","T1T2    ","T1T2    ","",""
"ACCT1902D","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=90785","","  T2T3  ","  T2T3  ","  T2T3  ","  T2T3  ","  T2T3  ","  T2T3  ","  T2T3  ","  T2T3  ","",""
"ACCT2110","","","","","","","","","","","",""
"ACCT2102","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=100475","","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    "
"ACCT2111","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=93106","","  S2    ","  S2    ","  S2    ","  S2    ","","","","","",""
"ACCT2112","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=95235","","  S2    ","  S2    ","","","","","","","",""
"ACCT2113","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=100504","","S1      ","","","","","","","","",""
"ACCT3101","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=97997","","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","  S2SS  ","  S2SS  "
"ACCT2114","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=99436","","S1      ","","","","","","","","",""
"ACCT3102","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=99237","","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1      ","S1      ","S1      "
"ACCT2101","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=100483","","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    "
"ACCT3103","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=100484","","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","  S2SS  ","  S2SS  "
"ACCT3104","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=99842","","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","  S2    ","  S2    ","  S2    "
